SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio, sum of aromatics
509.0, 0.552, 519.0, 0.095, 528.0, 0.805, 508.0, 0.446, 939.0, 0.535, 68752.090442
528.0, 0.619, 517.0, 0.805, 513.0, 0.572, 540.0, 0.055, 1032.0, 0.503, 73336.30592599999
540.0, 0.528, 531.0, 0.566, 508.0, 0.237, 527.0, 0.263, 1002.0, 0.567, 73589.927975
511.0, 0.056, 533.0, 0.999, 511.0, 0.668, 538.0, 0.789, 1063.0, 0.406, 79974.404484
506.0, 0.337, 538.0, 0.184, 528.0, 0.372, 531.0, 0.859, 997.0, 0.404, 77115.785866
527.0, 0.99, 503.0, 0.835, 517.0, 0.318, 518.0, 0.947, 966.0, 0.485, 71432.65447800001
525.0, 0.264, 503.0, 0.384, 511.0, 0.891, 540.0, 0.404, 986.0, 0.528, 74110.84260399999
539.0, 0.567, 520.0, 0.529, 511.0, 0.982, 519.0, 0.023, 1086.0, 0.472, 76982.554158
528.0, 0.747, 540.0, 0.847, 530.0, 0.98, 507.0, 0.459, 1032.0, 0.59, 78072.2763
530.0, 0.68, 505.0, 0.757, 502.0, 0.31, 515.0, 0.541, 1020.0, 0.595, 73860.202981
537.0, 0.238, 515.0, 0.843, 511.0, 0.427, 510.0, 0.505, 1042.0, 0.587, 76383.13598800001
501.0, 0.036, 515.0, 0.433, 531.0, 0.059, 534.0, 0.323, 1010.0, 0.42, 68347.243664
536.0, 0.668, 540.0, 0.232, 523.0, 0.523, 537.0, 0.045, 1024.0, 0.549, 73564.101574
540.0, 0.679, 537.0, 0.294, 538.0, 0.233, 535.0, 0.432, 1039.0, 0.402, 79364.652732
503.0, 0.935, 534.0, 0.26, 540.0, 0.857, 532.0, 0.016, 985.0, 0.429, 71027.46803999999
527.0, 0.005, 520.0, 0.364, 501.0, 0.83, 534.0, 0.637, 960.0, 0.485, 70158.628498
518.0, 0.192, 505.0, 0.441, 531.0, 0.376, 512.0, 0.782, 992.0, 0.479, 74276.50651199999
511.0, 0.347, 538.0, 0.628, 525.0, 0.871, 508.0, 0.011, 1029.0, 0.437, 74084.95839799999
530.0, 0.107, 513.0, 0.242, 531.0, 0.318, 531.0, 0.946, 964.0, 0.586, 74469.98056
513.0, 0.841, 516.0, 0.992, 500.0, 0.797, 521.0, 0.575, 1058.0, 0.467, 77542.887556
538.0, 0.291, 509.0, 0.852, 524.0, 0.804, 501.0, 0.708, 946.0, 0.568, 71055.10701899999
529.0, 0.55, 537.0, 0.771, 508.0, 0.639, 509.0, 0.203, 1074.0, 0.477, 78154.39882500001
532.0, 0.555, 508.0, 0.783, 532.0, 0.186, 540.0, 0.763, 1093.0, 0.527, 82830.762102
538.0, 0.058, 521.0, 0.325, 518.0, 0.191, 539.0, 0.501, 1056.0, 0.432, 77782.11642899999
533.0, 0.951, 540.0, 0.389, 500.0, 0.584, 537.0, 0.672, 937.0, 0.416, 71388.519971
527.0, 0.343, 514.0, 0.331, 536.0, 0.919, 540.0, 0.864, 1084.0, 0.401, 84552.047849
517.0, 0.34, 500.0, 0.365, 516.0, 0.961, 505.0, 0.123, 989.0, 0.579, 69270.310423
534.0, 0.35, 510.0, 0.559, 525.0, 0.357, 518.0, 0.359, 965.0, 0.55, 71572.31320900001
523.0, 0.155, 504.0, 0.896, 524.0, 0.053, 500.0, 0.071, 998.0, 0.485, 60982.28003999999
516.0, 0.068, 525.0, 0.829, 500.0, 0.761, 527.0, 0.575, 1037.0, 0.415, 76297.913549
527.0, 0.951, 506.0, 0.4, 536.0, 0.801, 536.0, 0.587, 967.0, 0.52, 73595.109906
517.0, 0.731, 528.0, 0.531, 535.0, 0.979, 518.0, 0.712, 1068.0, 0.428, 81554.762762
536.0, 0.269, 522.0, 0.317, 515.0, 0.774, 503.0, 0.118, 955.0, 0.59, 68374.250957
540.0, 0.39, 509.0, 0.017, 507.0, 0.857, 509.0, 0.23, 919.0, 0.598, 62581.374405
528.0, 0.308, 500.0, 0.142, 533.0, 0.888, 501.0, 0.542, 961.0, 0.547, 70878.323712
518.0, 0.177, 508.0, 0.955, 500.0, 0.016, 520.0, 0.456, 1055.0, 0.504, 70384.801695
525.0, 0.476, 501.0, 0.822, 507.0, 0.697, 511.0, 0.842, 1054.0, 0.582, 77897.25457399999
501.0, 0.383, 510.0, 0.853, 530.0, 0.171, 516.0, 0.259, 929.0, 0.456, 65504.184035000006
518.0, 0.823, 506.0, 0.005, 540.0, 0.141, 520.0, 0.05, 941.0, 0.549, 56219.90772999999
521.0, 0.047, 522.0, 0.225, 510.0, 0.969, 522.0, 0.504, 1057.0, 0.47, 76947.244856
517.0, 0.73, 512.0, 0.361, 517.0, 0.538, 516.0, 0.869, 1011.0, 0.511, 75801.350368
529.0, 0.693, 530.0, 0.802, 532.0, 0.033, 514.0, 0.36, 1023.0, 0.46, 72043.903158
523.0, 0.626, 518.0, 0.393, 537.0, 0.561, 537.0, 0.942, 1022.0, 0.513, 79689.62668799999
518.0, 0.824, 539.0, 0.175, 521.0, 0.215, 515.0, 0.186, 1022.0, 0.413, 70665.95111000001
539.0, 0.86, 517.0, 0.052, 527.0, 0.298, 507.0, 0.611, 989.0, 0.527, 70862.384047
505.0, 0.951, 514.0, 0.472, 527.0, 0.202, 517.0, 0.286, 1050.0, 0.51, 73939.294455
531.0, 0.375, 502.0, 0.754, 505.0, 0.804, 538.0, 0.03, 912.0, 0.501, 63730.50519200001
517.0, 0.378, 540.0, 0.372, 530.0, 0.127, 529.0, 0.287, 935.0, 0.433, 68872.266991
539.0, 0.078, 531.0, 0.128, 506.0, 0.201, 502.0, 0.215, 911.0, 0.553, 60636.970608
538.0, 0.011, 529.0, 0.532, 539.0, 0.336, 508.0, 0.222, 1022.0, 0.451, 71768.466252
505.0, 0.955, 512.0, 0.25, 537.0, 0.186, 519.0, 0.104, 1046.0, 0.472, 70112.05980700001
515.0, 0.808, 523.0, 0.516, 527.0, 0.109, 530.0, 0.108, 1058.0, 0.402, 71714.594533
503.0, 0.733, 538.0, 0.611, 540.0, 0.012, 526.0, 0.089, 1070.0, 0.458, 68982.17452599999
521.0, 0.51, 526.0, 0.506, 536.0, 0.98, 537.0, 0.523, 1014.0, 0.425, 78479.27207299999
510.0, 0.505, 532.0, 0.137, 536.0, 0.699, 528.0, 0.761, 962.0, 0.536, 74442.64259700001
508.0, 0.843, 506.0, 0.269, 509.0, 0.816, 528.0, 0.878, 985.0, 0.528, 73735.57935700001
