SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
500,0.791,523,0.853,500,0.127,512,0.563,912,0.453,0.636757995
504,0.382,512,0.589,524,0.154,507,0.978,1037,0.595,0.654580139
504,0.811,538,0.01,509,0.456,540,0.223,990,0.522,0.610643157
539,0.006,537,0.042,517,0.229,501,0.672,904,0.589,0.607760008
520,0.066,537,0.661,515,0.063,537,0.73,952,0.455,0.663312935
511,0.491,507,0.816,534,0.135,537,0.665,980,0.512,0.670285827
518,0.208,511,0.649,510,0.366,539,0.493,1029,0.478,0.668128344
539,0.195,503,0.95,507,0.932,506,0.648,1076,0.579,0.656986624
534,0.258,529,0.928,537,0.429,511,0.268,923,0.448,0.670129554
521,0.743,524,0.846,515,0.991,540,0.993,1085,0.428,0.684619165
503,0.166,511,0.879,512,0.277,536,0.803,980,0.505,0.668515776
529,0.648,518,0.091,517,0.865,529,0.723,938,0.445,0.676082934
508,0.563,530,0.787,512,0.82,519,0.585,973,0.573,0.674041881
519,0.177,506,0.906,506,0.147,505,0.956,1038,0.481,0.634360199
510,0.316,514,0.33,522,0.826,527,0.354,976,0.544,0.669867055
521,0.818,512,0.164,531,0.17,509,0.216,1050,0.44,0.603735855
501,0.209,531,0.326,519,0.115,531,0.149,1008,0.573,0.6128629
518,0.926,511,0.426,520,0.605,501,0.939,1015,0.491,0.662890101
518,0.804,503,0.337,521,0.018,526,0.935,963,0.468,0.63493494
503,0.856,507,0.49,500,0.066,511,0.388,917,0.463,0.602171508
535,0.077,529,0.731,512,0.85,518,0.092,1037,0.561,0.637023746
532,0.562,533,0.711,535,0.035,503,0.684,1082,0.461,0.640334719
509,0.63,531,0.29,529,0.081,517,0.489,970,0.541,0.645911861
528,0.419,534,0.702,524,0.267,533,0.116,958,0.46,0.652656683
530,0.156,509,0.014,505,0.858,536,0.328,1097,0.452,0.613326455
506,0.589,507,0.431,507,0.193,508,0.768,942,0.55,0.645234289
526,0.035,516,0.364,539,0.005,523,0.873,1023,0.447,0.604626563
533,0.668,508,0.22,535,0.554,512,0.188,922,0.529,0.653714576
526,0.455,523,0.309,518,0.394,509,0.517,1100,0.446,0.654695361
501,0.661,523,0.778,522,0.871,515,0.454,981,0.439,0.667126226
521,0.288,519,0.331,505,0.182,501,0.596,1052,0.45,0.624716423
501,0.29,510,0.315,506,0.158,505,0.735,960,0.49,0.62920502
523,0.177,504,0.991,526,0.52,531,0.629,1061,0.581,0.670832181
514,0.672,519,0.33,517,0.187,540,0.499,1075,0.478,0.663336518
528,0.161,523,0.489,516,0.591,525,0.817,1064,0.432,0.682616794
507,0.494,512,0.357,518,0.926,538,0.08,1072,0.576,0.637393796
504,0.768,505,0.674,520,0.224,535,0.484,935,0.525,0.661503411
537,0.933,530,0.961,519,0.464,512,0.164,947,0.583,0.653311025
535,0.824,517,0.159,528,0.439,501,0.099,1090,0.557,0.613606534
530,0.341,515,0.921,527,0.304,519,0.326,1068,0.593,0.654861469
504,0.835,502,0.077,517,0.164,537,0.98,1012,0.415,0.651156769
518,0.192,502,0.01,530,0.392,540,0.306,1060,0.465,0.617549251
527,0.649,529,0.824,519,0.14,507,0.983,988,0.525,0.663933833
527,0.256,540,0.253,540,0.937,512,0.4,932,0.593,0.692206734
508,0.648,540,0.007,524,0.155,537,0.551,944,0.402,0.629640899
525,0.379,524,0.796,506,0.428,510,0.357,1006,0.411,0.648544227
536,0.167,521,0.978,502,0.494,510,0.977,948,0.515,0.669378833
514,0.989,516,0.457,512,0.336,539,0.335,1052,0.54,0.655626509
